year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun
1968,2,3.2,8.2,-3.9,5.9,0.6,15.9,-8,8.6,44,115.6
1968,3,6.4,13.8,-0.9,10,2.9,41.5,-4,12.2,52,119
1968,4,7.3,15.5,-3.7,11,3.7,58.6,-7.4,9.2,45,171.5
1968,5,9.2,19.6,1.6,13,5.4,51.8,-1.6,7.3,38,191.3
1968,6,13.8,22.5,5.6,17.7,9.9,51.4,2.7,6.6,36,236.6
1968,7,14.2,22.5,8.1,17.6,10.8,15.9,5.8,5.8,34,173.2
1968,8,15,23.9,6.7,18.7,11.3,106.6,5,7,33,198.5
1968,9,13.5,21,7.5,16.5,10.4,103.5,2.9,9.7,48,142
1968,10,12.5,19,5.4,15.1,9.9,59.8,1.8,9.1,49,69.2
1968,11,8.1,14.6,-1.1,10.1,6.2,78.8,-6.4,10.8,47,41.7
1968,12,5.2,12.5,-1.9,7.4,3.1,109.1,-6.2,9.5,51,47.9
1969,1,5.6,13.3,-6.1,7.9,3.3,105.4,-7.4,10.1,56,44.6
1969,2,2.1,8.6,-6.2,4.5,-0.4,41.8,-10.9,11.6,52,91.3
1969,3,4.4,11.6,-1.2,6.6,2.2,46.9,-7.8,9.3,44,86.4
1969,4,7.7,17.6,-0.4,11.5,3.8,62.3,-4.9,9.5,51,198.5
1969,5,10.4,18.5,2.2,13.6,7.2,111.2,-0.5,6.6,29,156.5
1969,6,13,20.4,4.7,16.8,9.3,46.4,0.8,6.6,35,240.7
1969,7,16,25.2,7.1,19.9,12.1,43.8,5.2,7.9,37,216.5
1969,8,15.2,23.1,6.9,18.7,11.7,34.1,5.2,7.4,37,153.6
1969,9,13,20.5,2.6,16.5,9.5,44.9,0.2,7,47,115.7
1969,10,13.1,20.2,2.3,16.1,10,11.1,0.2,9.1,43,89.1
1969,11,5.1,17,-2,8.1,2,90,-6.7,11.2,45,85.6
1969,12,4.9,12.6,-3.7,7.6,2.2,63.5,-8,11,43,52.4
1970,1,4.8,12.3,-6.5,7.2,2.5,62.5,-10,10.4,46,43.9
1970,2,3.9,11.8,-2.9,6.8,1,60.4,-7.4,12.1,62,108.6
1970,3,4.9,13.7,-2.4,8.3,1.5,32.5,-4.9,12.6,48,137.6
1970,4,7,16.3,-2.1,10.8,3.2,85.3,-4.3,11.9,42,150.4
1970,5,12.3,20,6.9,15.9,8.8,13.2,3.1,9.6,39,160.9
1970,6,15.1,24.1,9.1,18.7,11.5,31.6,5.1,7.1,42,203
1970,7,14.6,22.8,6.2,18.7,10.5,68.2,4,10.4,40,167.9
1970,8,14.7,23.5,6.7,18.4,11,68.3,4.4,6.7,56,141.7
1970,9,13.4,21.1,5.4,16.8,10.1,53.8,1.9,9.6,52,113
1970,10,10.8,17.8,3.3,13.8,7.8,59.2,0.5,12.1,56,92.8
1970,11,7.6,15.4,-0.4,10.2,5,128,-5.2,11.4,64,65.3
1970,12,5.6,12.6,-2.7,8.1,3.2,50.6,-5,10.1,44,57.5
1971,1,6,16.6,-3.7,8.5,3.4,39.4,-6.3,10.4,50,53.4
1971,2,5.9,11.1,-2.7,8.3,3.4,39.7,-5.8,8.9,50,65.4
1971,3,5.9,12.2,0.5,8.8,3.1,78.8,-4.3,9.2,47,83.5
1971,4,7.7,15.1,0.7,10.9,4.6,52.4,-3,7.5,42,165.1
1971,5,10.4,19.7,3,14.2,6.7,34,-2.1,6.8,36,190.4
1971,6,12.3,20.2,3.9,15.5,9.1,71.8,1.8,8.2,36,169.3
1971,7,15.7,23.8,5.4,19.7,11.8,62.8,1.8,6.9,32,226.7
1971,8,14.7,21.3,7.2,18.1,11.3,66.9,5.5,8.2,38,113.5
1971,9,14.7,22.3,5.1,18.5,10.9,27,2.1,6.7,35,171.3
1971,10,12.6,21.2,3.7,15.6,9.7,34.4,-1.4,11,49,118.2
1971,11,7.2,16.2,-1.8,10.6,3.7,48,-4.8,12.2,43,78
1971,12,7.8,14.7,-0.1,9.9,5.7,36.4,-1.7,13,48,31.1
1972,1,4.9,12.1,-8.8,7.4,2.5,110.6,-14,12.5,51,42.8
1972,2,5.6,10.3,0.7,7.9,3.4,59.7,-7.2,11.4,57,65.6
1972,3,6.4,14,0,9.4,3.3,50.1,-4.4,11.5,54,117.9
1972,4,8.5,17.1,1.9,11.7,5.2,49.2,-2.2,12.1,46,173.8
1972,5,10.1,16.7,3.1,13.1,7,66.7,0.1,12.1,56,163.1
1972,6,11.3,18.4,5.1,14.8,7.9,58.6,1.9,9.8,39,149.4
1972,7,14.9,22.8,7,18.4,11.3,41.1,4.8,6.7,32,184
1972,8,13.9,20.7,6.5,17.6,10.1,24,3.6,8,35,167.3
1972,9,12.2,22.6,2.4,16.1,8.2,7.5,-0.5,6.6,31,167
